neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,expensive,number_of_reviews,reviews_per_month,calculated_host_listings_count,price
1,0,0,0,0,1,0,0,0,223,2.22,2,95.0
0,1,0,0,0,0,1,0,0,11,0.11,5,79.0
1,0,0,0,0,0,1,0,1,151,1.51,2,150.0
0,1,0,0,0,0,1,0,1,0,0.0,3,650.0
0,1,0,0,0,0,1,0,0,218,2.26,4,90.0
0,1,0,0,0,0,1,0,1,75,0.76,2,120.0
0,0,0,1,0,1,0,0,0,42,1.21,2,80.0
0,1,0,0,0,0,1,0,0,0,0.0,1,100.0
0,1,0,0,0,0,1,0,1,370,3.74,1,175.0
0,1,0,0,0,0,1,0,1,104,1.04,1,120.0
0,1,0,0,0,0,1,0,1,13,0.13,1,140.0
0,1,0,0,0,0,1,0,1,4,0.07,1,200.0
0,1,0,0,0,1,0,0,1,11,0.11,3,165.0
1,0,0,0,0,0,1,0,1,1,0.01,3,125.0
1,0,0,0,0,0,1,0,1,19,0.19,1,130.0
1,0,0,0,0,0,0,1,0,131,1.31,2,65.0
0,1,0,0,0,0,1,0,1,15,0.15,1,123.0
1,0,0,0,0,1,0,0,0,136,1.37,1,67.0
0,0,0,1,0,1,0,0,0,43,0.45,1,50.0
0,1,0,0,0,0,1,0,1,98,0.99,1,130.0
0,1,0,0,0,1,0,0,0,31,0.31,1,100.0
1,0,0,0,0,0,1,0,1,45,0.46,1,212.0
0,1,0,0,0,0,1,0,1,124,1.76,1,190.0
0,1,0,0,0,1,0,0,1,9,0.09,28,599.0
1,0,0,0,0,0,1,0,1,166,1.68,2,249.0
0,0,0,1,0,1,0,0,0,13,0.13,1,70.0
0,1,0,0,0,0,1,0,0,15,0.16,5,100.0
1,0,0,0,0,1,0,0,0,380,3.83,2,60.0
0,1,0,0,0,0,1,0,1,86,0.87,1,135.0
0,1,0,0,0,0,1,0,1,248,2.53,3,175.0
1,0,0,0,0,0,1,0,1,49,0.56,1,120.0
1,0,0,0,0,0,1,0,1,54,0.57,1,169.0
0,1,0,0,0,0,1,0,1,3,0.03,1,165.0
1,0,0,0,0,1,0,0,0,1,0.02,1,90.0
1,0,0,0,0,0,1,0,1,56,0.57,1,225.0
0,1,0,0,0,1,0,0,0,163,1.66,2,95.0
0,1,0,0,0,1,0,0,0,247,2.51,2,55.0
1,0,0,0,0,1,0,0,0,116,1.17,1,85.0
0,1,0,0,0,0,1,0,1,27,0.28,2,199.0
1,0,0,0,0,0,1,0,1,52,0.6,3,211.0
1,0,0,0,0,0,1,0,1,39,0.4,1,145.0
1,0,0,0,0,1,0,0,0,35,0.35,1,65.0
1,0,0,0,0,0,1,0,0,320,3.23,1,99.0
0,0,0,1,0,0,1,0,1,30,0.32,1,110.0
0,1,0,0,0,0,1,0,0,225,2.27,4,80.0
0,1,0,0,0,0,1,0,1,95,0.96,1,150.0
0,1,0,0,0,0,1,0,1,70,0.75,1,110.0
1,0,0,0,0,1,0,0,1,35,0.36,1,290.0
1,0,0,0,0,1,0,0,0,0,0.0,1,87.0
0,1,0,0,0,0,1,0,1,50,0.51,1,190.0
0,1,0,0,0,0,1,0,1,29,0.31,1,200.0
0,1,0,0,0,0,1,0,1,23,0.23,2,165.0
1,0,0,0,0,0,1,0,1,142,1.44,2,110.0
1,0,0,0,0,0,1,0,1,70,0.73,1,395.0
0,1,0,0,0,1,0,0,0,38,0.54,2,99.0
0,1,0,0,0,1,0,0,0,82,0.94,2,39.0
1,0,0,0,0,0,1,0,1,403,4.1,3,189.0
1,0,0,0,0,1,0,0,0,3,0.03,1,85.0
0,1,0,0,0,0,1,0,1,3,0.03,1,260.0
1,0,0,0,0,0,1,0,1,116,1.18,5,122.0
0,1,0,0,0,0,1,0,1,175,1.79,1,165.0
0,0,0,1,0,0,1,0,0,28,1.21,3,97.0
1,0,0,0,0,0,1,0,1,24,0.25,1,170.0
0,1,0,0,0,0,1,0,1,15,0.15,1,125.0
1,0,0,0,0,1,0,0,1,105,1.07,1,130.0
0,1,0,0,0,0,1,0,1,22,0.38,1,225.0
0,1,0,0,0,1,0,0,0,263,2.69,2,50.0
0,1,0,0,0,0,1,0,1,86,0.91,2,170.0
1,0,0,0,0,0,1,0,1,10,0.1,1,132.0
0,1,0,0,0,0,1,0,1,18,0.21,1,250.0
0,1,0,0,0,0,1,0,1,8,0.21,1,141.0
0,1,0,0,0,0,1,0,0,70,0.73,1,64.0
0,1,0,0,0,0,1,0,1,150,1.55,1,249.0
0,1,0,0,0,1,0,0,0,115,1.18,1,79.0
1,0,0,0,0,0,1,0,1,69,0.71,1,185.0
0,1,0,0,0,0,1,0,1,232,2.41,1,120.0
0,1,0,0,0,0,1,0,1,35,0.41,1,495.0
1,0,0,0,0,0,1,0,1,18,0.21,1,375.0
1,0,0,0,0,0,1,0,1,68,0.69,1,175.0
1,0,0,0,0,0,1,0,1,22,0.23,1,150.0
1,0,0,0,0,0,1,0,1,17,0.17,1,259.0
1,0,0,0,0,1,0,0,0,34,0.58,1,96.0
0,1,0,0,0,0,1,0,1,8,0.08,1,145.0
1,0,0,0,0,0,1,0,1,0,0.0,1,200.0
1,0,0,0,0,0,1,0,0,2,0.08,1,95.0
0,1,0,0,0,0,1,0,1,52,0.72,1,250.0
1,0,0,0,0,0,1,0,1,74,0.76,2,295.0
1,0,0,0,0,0,1,0,1,18,0.19,1,175.0
0,1,0,0,0,0,1,0,1,72,0.86,1,451.0
1,0,0,0,0,0,1,0,1,191,2.18,1,165.0
1,0,0,0,0,0,1,0,1,0,0.0,1,250.0
0,0,1,0,0,0,1,0,0,197,2.49,1,77.0
1,0,0,0,0,0,1,0,1,19,0.2,1,250.0
0,0,0,1,0,0,1,0,1,414,4.34,1,129.0
0,1,0,0,0,1,0,0,0,8,0.09,4,98.0
0,1,0,0,0,0,1,0,1,0,0.0,1,150.0
1,0,0,0,0,1,0,0,0,25,0.3,1,95.0
1,0,0,0,0,1,0,0,0,119,1.22,5,55.0
1,0,0,0,0,0,1,0,1,203,2.14,3,300.0
0,0,0,1,0,1,0,0,0,53,0.55,3,42.0
0,1,0,0,0,0,1,0,1,104,1.09,1,125.0
1,0,0,0,0,1,0,0,1,175,1.8,1,175.0
1,0,0,0,0,1,0,0,0,38,0.42,3,75.0
0,1,0,0,0,0,1,0,1,39,0.5,1,255.0
0,1,0,0,0,0,1,0,0,88,0.91,1,72.0
0,1,0,0,0,1,0,0,1,27,0.28,4,165.0
0,1,0,0,0,0,1,0,1,117,1.28,1,165.0
0,1,0,0,0,1,0,0,0,43,0.44,2,75.0
0,1,0,0,0,0,1,0,1,4,0.05,1,130.0
0,1,0,0,0,0,1,0,1,385,4.0,1,139.0
