neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,number_of_reviews,reviews_per_month,calculated_host_listings_count
1,0,0,0,0,0,1,0,0,0.0,327
0,1,0,0,0,0,1,0,12,1.86,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,0,0.0,33
0,1,0,0,0,1,0,0,3,0.08,1
1,0,0,0,0,1,0,0,10,4.55,1
0,0,0,1,0,1,0,0,4,0.29,1
0,1,0,0,0,0,1,0,19,3.88,1
1,0,0,0,0,0,1,0,15,0.65,1
1,0,0,0,0,0,1,0,0,0.0,49
1,0,0,0,0,1,0,0,8,1.06,1
0,1,0,0,0,0,1,0,30,0.84,1
1,0,0,0,0,1,0,0,2,0.1,1
0,1,0,0,0,1,0,0,91,1.73,2
1,0,0,0,0,0,1,0,9,0.23,1
1,0,0,0,0,0,1,0,1,1.0,1
0,1,0,0,0,0,1,0,30,1.28,1
0,1,0,0,0,0,1,0,10,0.17,1
0,1,0,0,0,0,1,0,58,0.63,1
1,0,0,0,0,1,0,0,2,0.67,3
1,0,0,0,0,1,0,0,45,2.7,5
1,0,0,0,0,1,0,0,1,1.0,1
1,0,0,0,0,0,1,0,28,0.79,2
0,1,0,0,0,1,0,0,5,0.2,2
0,1,0,0,0,0,1,0,4,3.64,1
1,0,0,0,0,0,1,0,43,1.39,1
0,1,0,0,0,0,1,0,118,3.69,4
0,1,0,0,0,0,1,0,3,0.56,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,29,0.75,1
1,0,0,0,0,1,0,0,12,0.33,1
0,1,0,0,0,1,0,0,0,0.0,1
0,0,0,1,0,1,0,0,9,3.14,2
1,0,0,0,0,0,1,0,1,0.16,1
0,0,0,1,0,0,1,0,68,2.47,1
0,1,0,0,0,0,1,0,2,1.36,2
0,0,0,1,0,1,0,0,9,1.13,1
1,0,0,0,0,0,1,0,0,0.0,2
1,0,0,0,0,1,0,0,2,2.0,7
0,0,0,1,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,7,0.15,1
1,0,0,0,0,1,0,0,1,1.0,1
0,0,0,1,0,0,1,0,3,0.56,1
1,0,0,0,0,0,1,0,6,0.17,1
0,1,0,0,0,1,0,0,1,0.07,2
1,0,0,0,0,0,1,0,3,0.25,1
0,1,0,0,0,1,0,0,0,0.0,1
0,0,0,1,0,1,0,0,1,0.1,18
0,1,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,5,0.09,1
0,1,0,0,0,1,0,0,74,2.38,2
0,0,1,0,0,1,0,0,13,1.09,1
